    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
          36,  2.025961e+01,  1.775532e+00,   2.549511e+01,     0.000000e+00,                     5.543657e-01,  6.953323e-310, 4.076593e-315,         1.976263e-323,                     9.946114e-01,  6.953323e-310, 4.076593e-315,         1.976263e-323,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,1,0,0,                  1,            14,                  1,             1,     0
          37,  5.059622e+01,  7.044311e+00,   7.184436e+00,     0.000000e+00,                     5.543657e-01,  6.953323e-310, 4.076593e-315,         1.976263e-323,                     9.946114e-01,  6.953323e-310, 4.076593e-315,         1.976263e-323,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,             7,                  1,            15,     0
          38,  1.141895e+01,  1.024291e+01,   2.746827e+02,     0.000000e+00,                     5.543657e-01,   0.000000e+00, 1.976263e-323,          5.543657e-01,                     9.946114e-01,   0.000000e+00, 1.976263e-323,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,1,0,0,                  1,            13,                  1,             1,     0
          39,  1.000000e+00,  3.000000e+00,   1.540127e+01,     0.000000e+00,                     5.543657e-01,  6.953323e-310,  5.543214e-01,         1.976263e-323,                     9.946114e-01,  6.953323e-310,  5.543214e-01,         1.976263e-323,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          40,  1.000000e+00,  3.000000e+00,   4.273150e+00,     0.000000e+00,                     5.543657e-01,   0.000000e+00, 1.976263e-323,          9.946114e-01,                     9.946114e-01,   0.000000e+00, 1.976263e-323,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          41,  1.000000e+00,  3.000000e+00,   1.008543e+00,     0.000000e+00,                     5.543657e-01,   5.543213e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   5.543213e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,             8,     0
          42,  1.000000e+00,  3.000000e+00,   3.148912e+00,     0.000000e+00,                     5.543657e-01,   0.000000e+00,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   0.000000e+00,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          43,  1.000000e+00,  3.000000e+00,   2.885481e-01,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            10,     0
          44,  1.000000e+00,  3.000000e+00,   2.184583e+02,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
          45,  1.000000e+00,  3.000000e+00,   9.037453e+02,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          5.543657e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
          46,  1.000000e+00,  3.000000e+00,   1.365619e+02,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  5.543657e-01,          5.543657e-01,                     9.946114e-01,   9.946113e-01,  5.543657e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
