     FLOAT      ,     FLOAT      ,     FLOAT      ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      
      Myr       ,      Myr       ,      Myr       ,     -      ,       -        ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,     Lsol     ,     Tsol     ,     Msol     ,     Msol     ,     Msol     ,  Msol yr^-1  ,      Myr       
      Age       ,       dT       ,      Time      ,Stellar_Type,Metallicity@ZAMS,    Mass_0    ,     Mass     ,    Radius    ,    R@ZAMS    ,  Luminosity  ,     Teff     ,  Mass_Core   , Mass_CO_Core , Mass_He_Core ,     Mdot     ,      tMS       
  4.65653220e-02,  4.65482818e-02,  4.65482818e-02,           1,    1.420000e-02,  4.319316e+01,  4.319316e+01,  9.304170e+00,  9.249342e+00,  2.609938e+05,  7.410009e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.764993e-07,  4.65482818e+00
  9.31651257e-02,  4.65653220e-02,  9.31136038e-02,           1,    1.420000e-02,  4.316606e+01,  4.316606e+01,  9.355610e+00,  9.249342e+00,  2.621102e+05,  7.397499e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.821067e-07,  4.65653220e+00
  1.39800025e-01,  4.65825628e-02,  1.39696167e-01,           1,    1.420000e-02,  4.313868e+01,  4.313868e+01,  9.407334e+00,  9.249342e+00,  2.632421e+05,  7.385085e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.878126e-07,  4.65825628e+00
  1.86470649e-01,  4.66000082e-02,  1.86296175e-01,           1,    1.420000e-02,  4.311101e+01,  4.311101e+01,  9.459372e+00,  9.249342e+00,  2.643895e+05,  7.372757e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.936184e-07,  4.66000082e+00
  2.33177646e-01,  4.66176623e-02,  2.32913837e-01,           1,    1.420000e-02,  4.308307e+01,  4.308307e+01,  9.511751e+00,  9.249342e+00,  2.655528e+05,  7.360503e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.995258e-07,  4.66176623e+00
  2.79921681e-01,  4.66355293e-02,  2.79549366e-01,           1,    1.420000e-02,  4.305483e+01,  4.305483e+01,  9.564501e+00,  9.249342e+00,  2.667318e+05,  7.348311e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.055362e-07,  4.66355293e+00
  3.26703436e-01,  4.66536135e-02,  3.26202980e-01,           1,    1.420000e-02,  4.302629e+01,  4.302629e+01,  9.617653e+00,  9.249342e+00,  2.679267e+05,  7.336171e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.116511e-07,  4.66536135e+00
  3.73523611e-01,  4.66719194e-02,  3.72874899e-01,           1,    1.420000e-02,  4.299745e+01,  4.299745e+01,  9.671235e+00,  9.249342e+00,  2.691377e+05,  7.324073e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.178721e-07,  4.66719194e+00
  4.20382928e-01,  4.66904514e-02,  4.19565351e-01,           1,    1.420000e-02,  4.296831e+01,  4.296831e+01,  9.725280e+00,  9.249342e+00,  2.703647e+05,  7.312004e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.242006e-07,  4.66904514e+00
  4.67282123e-01,  4.67092142e-02,  4.66274565e-01,           1,    1.420000e-02,  4.293885e+01,  4.293885e+01,  9.779819e+00,  9.249342e+00,  2.716080e+05,  7.299956e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.306379e-07,  4.67092142e+00
  5.14221957e-01,  4.67282123e-02,  5.13002777e-01,           1,    1.420000e-02,  4.290908e+01,  4.290908e+01,  9.834884e+00,  9.249342e+00,  2.728675e+05,  7.287916e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.371854e-07,  4.67282123e+00
  5.61203208e-01,  4.67474506e-02,  5.59750228e-01,           1,    1.420000e-02,  4.287898e+01,  4.287898e+01,  9.890508e+00,  9.249342e+00,  2.741435e+05,  7.275874e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.438443e-07,  4.67474506e+00
  6.08226675e-01,  4.67669340e-02,  6.06517162e-01,           1,    1.420000e-02,  4.284855e+01,  4.284855e+01,  9.946724e+00,  9.249342e+00,  2.754359e+05,  7.263820e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.506160e-07,  4.67669340e+00
  6.55293179e-01,  4.67866673e-02,  6.53303829e-01,           1,    1.420000e-02,  4.281779e+01,  4.281779e+01,  1.000357e+01,  9.249342e+00,  2.767449e+05,  7.251744e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.575017e-07,  4.67866673e+00
  7.02403563e-01,  4.68066557e-02,  7.00110485e-01,           1,    1.420000e-02,  4.278669e+01,  4.278669e+01,  1.006107e+01,  9.249342e+00,  2.780706e+05,  7.239635e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.645024e-07,  4.68066557e+00
  7.49558691e-01,  4.68269042e-02,  7.46937389e-01,           1,    1.420000e-02,  4.275524e+01,  4.275524e+01,  1.011927e+01,  9.249342e+00,  2.794131e+05,  7.227483e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.716193e-07,  4.68269042e+00
  7.96759449e-01,  4.68474182e-02,  7.93784807e-01,           1,    1.420000e-02,  4.272343e+01,  4.272343e+01,  1.017820e+01,  9.249342e+00,  2.807724e+05,  7.215278e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.788533e-07,  4.68474182e+00
  8.44006747e-01,  4.68682029e-02,  8.40653010e-01,           1,    1.420000e-02,  4.269127e+01,  4.269127e+01,  1.023790e+01,  9.249342e+00,  2.821487e+05,  7.203010e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.862054e-07,  4.68682029e+00
  8.91301519e-01,  4.68892637e-02,  8.87542274e-01,           1,    1.420000e-02,  4.265875e+01,  4.265875e+01,  1.029841e+01,  9.249342e+00,  2.835421e+05,  7.190669e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.936765e-07,  4.68892637e+00
  9.38644721e-01,  4.69106062e-02,  9.34452880e-01,           1,    1.420000e-02,  4.262585e+01,  4.262585e+01,  1.035976e+01,  9.249342e+00,  2.849527e+05,  7.178245e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.012673e-07,  4.69106062e+00
  9.86037336e-01,  4.69322360e-02,  9.81385116e-01,           1,    1.420000e-02,  4.259258e+01,  4.259258e+01,  1.042200e+01,  9.249342e+00,  2.863805e+05,  7.165728e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.089785e-07,  4.69322360e+00
  1.03348037e+00,  4.69541588e-02,  1.02833927e+00,           1,    1.420000e-02,  4.255892e+01,  4.255892e+01,  1.048516e+01,  9.249342e+00,  2.878257e+05,  7.153109e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.168108e-07,  4.69541588e+00
  1.08097485e+00,  4.69763804e-02,  1.07531566e+00,           1,    1.420000e-02,  4.252487e+01,  4.252487e+01,  1.054928e+01,  9.249342e+00,  2.892884e+05,  7.140379e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.247645e-07,  4.69763804e+00
  1.12852184e+00,  4.69989066e-02,  1.12231456e+00,           1,    1.420000e-02,  4.249043e+01,  4.249043e+01,  1.061441e+01,  9.249342e+00,  2.907686e+05,  7.127527e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.328402e-07,  4.69989066e+00
  1.17612242e+00,  4.70217434e-02,  1.16933631e+00,           1,    1.420000e-02,  4.245559e+01,  4.245559e+01,  1.068059e+01,  9.249342e+00,  2.922664e+05,  7.114544e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.410380e-07,  4.70217434e+00
  1.22377770e+00,  4.70448969e-02,  1.21638120e+00,           1,    1.420000e-02,  4.242033e+01,  4.242033e+01,  1.074786e+01,  9.249342e+00,  2.937821e+05,  7.101422e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.493581e-07,  4.70448969e+00
  1.27148882e+00,  4.70683733e-02,  1.26344958e+00,           1,    1.420000e-02,  4.238466e+01,  4.238466e+01,  1.081627e+01,  9.249342e+00,  2.953155e+05,  7.088150e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.578006e-07,  4.70683733e+00
  1.31925694e+00,  4.70921786e-02,  1.31054175e+00,           1,    1.420000e-02,  4.234857e+01,  4.234857e+01,  1.088585e+01,  9.249342e+00,  2.968670e+05,  7.074720e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.663651e-07,  4.70921786e+00
  1.36708325e+00,  4.71163193e-02,  1.35765807e+00,           1,    1.420000e-02,  4.231206e+01,  4.231206e+01,  1.095666e+01,  9.249342e+00,  2.984364e+05,  7.061123e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.750516e-07,  4.71163193e+00
  1.41496897e+00,  4.71408017e-02,  1.40479888e+00,           1,    1.420000e-02,  4.227510e+01,  4.227510e+01,  1.102875e+01,  9.249342e+00,  3.000241e+05,  7.047350e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.838594e-07,  4.71408017e+00
  1.46291535e+00,  4.71656324e-02,  1.45196451e+00,           1,    1.420000e-02,  4.223771e+01,  4.223771e+01,  1.110216e+01,  9.249342e+00,  3.016300e+05,  7.033391e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.927879e-07,  4.71656324e+00
