     FLOAT      ,     FLOAT      ,     FLOAT      ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      
      Myr       ,      Myr       ,      Myr       ,     -      ,       -        ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,     Lsol     ,     Tsol     ,     Msol     ,     Msol     ,     Msol     ,  Msol yr^-1  ,      Myr       
      Age       ,       dT       ,      Time      ,Stellar_Type,Metallicity@ZAMS,    Mass_0    ,     Mass     ,    Radius    ,    R@ZAMS    ,  Luminosity  ,     Teff     ,  Mass_Core   , Mass_CO_Core , Mass_He_Core ,     Mdot     ,      tMS       
  3.13372249e-02,  3.13258957e-02,  3.13258957e-02,           1,    1.420000e-02,  1.678270e+02,  1.678270e+02,  2.276317e+01,  2.254856e+01,  2.971720e+06,  8.702330e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.861222e-05,  3.13258957e+00
  6.26974744e-02,  3.13372249e-02,  6.26631206e-02,           1,    1.420000e-02,  1.672397e+02,  1.672397e+02,  2.292678e+01,  2.254856e+01,  2.968521e+06,  8.668891e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.874076e-05,  3.13372249e+00
  9.40813095e-02,  3.13487372e-02,  9.40118578e-02,           1,    1.420000e-02,  1.666481e+02,  1.666481e+02,  2.309037e+01,  2.254856e+01,  2.965475e+06,  8.635910e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.886970e-05,  3.13487372e+00
  1.25489307e-01,  3.13604365e-02,  1.25372294e-01,           1,    1.420000e-02,  1.660523e+02,  1.660523e+02,  2.325400e+01,  2.254856e+01,  2.962576e+06,  8.603368e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.899910e-05,  3.13604365e+00
  1.56922061e-01,  3.13723268e-02,  1.56744621e-01,           1,    1.420000e-02,  1.654522e+02,  1.654522e+02,  2.341772e+01,  2.254856e+01,  2.959820e+06,  8.571246e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.912902e-05,  3.13723268e+00
  1.88380182e-01,  3.13844122e-02,  1.88129033e-01,           1,    1.420000e-02,  1.648477e+02,  1.648477e+02,  2.358159e+01,  2.254856e+01,  2.957201e+06,  8.539524e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.925953e-05,  3.13844122e+00
  2.19864300e-01,  3.13966970e-02,  2.19525730e-01,           1,    1.420000e-02,  1.642389e+02,  1.642389e+02,  2.374566e+01,  2.254856e+01,  2.954715e+06,  8.508183e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.939066e-05,  3.13966970e+00
  2.51375064e-01,  3.14091858e-02,  2.50934916e-01,           1,    1.420000e-02,  1.636258e+02,  1.636258e+02,  2.390998e+01,  2.254856e+01,  2.952357e+06,  8.477203e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.952247e-05,  3.14091858e+00
  2.82913142e-01,  3.14218830e-02,  2.82356799e-01,           1,    1.420000e-02,  1.630082e+02,  1.630082e+02,  2.407463e+01,  2.254856e+01,  2.950122e+06,  8.446566e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.965500e-05,  3.14218830e+00
  3.14479222e-01,  3.14347935e-02,  3.13791593e-01,           1,    1.420000e-02,  1.623861e+02,  1.623861e+02,  2.423966e+01,  2.254856e+01,  2.948004e+06,  8.416252e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.978827e-05,  3.14347935e+00
  3.46074017e-01,  3.14479222e-02,  3.45239515e-01,           1,    1.420000e-02,  1.617596e+02,  1.617596e+02,  2.440515e+01,  2.254856e+01,  2.945997e+06,  8.386242e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.992232e-05,  3.14479222e+00
  3.77698260e-01,  3.14612743e-02,  3.76700789e-01,           1,    1.420000e-02,  1.611286e+02,  1.611286e+02,  2.457115e+01,  2.254856e+01,  2.944097e+06,  8.356517e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.005717e-05,  3.14612743e+00
  4.09352708e-01,  3.14748550e-02,  4.08175644e-01,           1,    1.420000e-02,  1.604930e+02,  1.604930e+02,  2.473775e+01,  2.254856e+01,  2.942298e+06,  8.327058e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.019284e-05,  3.14748550e+00
  4.41038141e-01,  3.14886698e-02,  4.39664314e-01,           1,    1.420000e-02,  1.598529e+02,  1.598529e+02,  2.490501e+01,  2.254856e+01,  2.940593e+06,  8.297847e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.032933e-05,  3.14886698e+00
  4.72755367e-01,  3.15027244e-02,  4.71167038e-01,           1,    1.420000e-02,  1.592081e+02,  1.592081e+02,  2.507301e+01,  2.254856e+01,  2.938978e+06,  8.268864e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.046665e-05,  3.15027244e+00
  5.04505218e-01,  3.15170245e-02,  5.02684063e-01,           1,    1.420000e-02,  1.585587e+02,  1.585587e+02,  2.524183e+01,  2.254856e+01,  2.937446e+06,  8.240091e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.060479e-05,  3.15170245e+00
  5.36288553e-01,  3.15315761e-02,  5.34215639e-01,           1,    1.420000e-02,  1.579046e+02,  1.579046e+02,  2.541155e+01,  2.254856e+01,  2.935991e+06,  8.211510e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.074375e-05,  3.15315761e+00
  5.68106261e-01,  3.15463855e-02,  5.65762024e-01,           1,    1.420000e-02,  1.572458e+02,  1.572458e+02,  2.558226e+01,  2.254856e+01,  2.934606e+06,  8.183102e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.088349e-05,  3.15463855e+00
  5.99959259e-01,  3.15614590e-02,  5.97323483e-01,           1,    1.420000e-02,  1.565823e+02,  1.565823e+02,  2.575405e+01,  2.254856e+01,  2.933287e+06,  8.154848e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.102401e-05,  3.15614590e+00
  6.31848493e-01,  3.15768031e-02,  6.28900286e-01,           1,    1.420000e-02,  1.559139e+02,  1.559139e+02,  2.592700e+01,  2.254856e+01,  2.932026e+06,  8.126731e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.116525e-05,  3.15768031e+00
  6.63774941e-01,  3.15924247e-02,  6.60492711e-01,           1,    1.420000e-02,  1.552408e+02,  1.552408e+02,  2.610120e+01,  2.254856e+01,  2.930818e+06,  8.098731e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.130719e-05,  3.15924247e+00
  6.95739614e-01,  3.16083305e-02,  6.92101042e-01,           1,    1.420000e-02,  1.545628e+02,  1.545628e+02,  2.627676e+01,  2.254856e+01,  2.929654e+06,  8.070831e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.144977e-05,  3.16083305e+00
  7.27743554e-01,  3.16245279e-02,  7.23725570e-01,           1,    1.420000e-02,  1.538799e+02,  1.538799e+02,  2.645376e+01,  2.254856e+01,  2.928530e+06,  8.043012e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.159292e-05,  3.16245279e+00
  7.59787836e-01,  3.16410241e-02,  7.55366594e-01,           1,    1.420000e-02,  1.531922e+02,  1.531922e+02,  2.663233e+01,  2.254856e+01,  2.927439e+06,  8.015256e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.173659e-05,  3.16410241e+00
  7.91873574e-01,  3.16578265e-02,  7.87024420e-01,           1,    1.420000e-02,  1.524995e+02,  1.524995e+02,  2.681255e+01,  2.254856e+01,  2.926372e+06,  7.987545e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.188069e-05,  3.16578265e+00
  8.24001914e-01,  3.16749430e-02,  8.18699363e-01,           1,    1.420000e-02,  1.518018e+02,  1.518018e+02,  2.699455e+01,  2.254856e+01,  2.925325e+06,  7.959862e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.202514e-05,  3.16749430e+00
  8.56174040e-01,  3.16923813e-02,  8.50391744e-01,           1,    1.420000e-02,  1.510992e+02,  1.510992e+02,  2.717842e+01,  2.254856e+01,  2.924290e+06,  7.932188e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.216983e-05,  3.16923813e+00
  8.88391174e-01,  3.17101496e-02,  8.82101894e-01,           1,    1.420000e-02,  1.503916e+02,  1.503916e+02,  2.736430e+01,  2.254856e+01,  2.923260e+06,  7.904505e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.231467e-05,  3.17101496e+00
  9.20654575e-01,  3.17282562e-02,  9.13830150e-01,           1,    1.420000e-02,  1.496790e+02,  1.496790e+02,  2.755231e+01,  2.254856e+01,  2.922228e+06,  7.876795e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.245953e-05,  3.17282562e+00
  9.52965544e-01,  3.17467095e-02,  9.45576860e-01,           1,    1.420000e-02,  1.489614e+02,  1.489614e+02,  2.774256e+01,  2.254856e+01,  2.921187e+06,  7.849041e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.260429e-05,  3.17467095e+00
  9.85325418e-01,  3.17655181e-02,  9.77342378e-01,           1,    1.420000e-02,  1.482388e+02,  1.482388e+02,  2.793519e+01,  2.254856e+01,  2.920131e+06,  7.821224e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.274880e-05,  3.17655181e+00
