     FLOAT      ,     FLOAT      ,     FLOAT      ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      
      Myr       ,      Myr       ,      Myr       ,     -      ,       -        ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,     Lsol     ,     Tsol     ,     Msol     ,     Msol     ,     Msol     ,  Msol yr^-1  ,      Myr       
      Age       ,       dT       ,      Time      ,Stellar_Type,Metallicity@ZAMS,    Mass_0    ,     Mass     ,    Radius    ,    R@ZAMS    ,  Luminosity  ,     Teff     ,  Mass_Core   , Mass_CO_Core , Mass_He_Core ,     Mdot     ,      tMS       
  3.17686510e-02,  3.17566151e-02,  3.17566151e-02,           1,    1.420000e-02,  1.488427e+02,  1.488427e+02,  2.101524e+01,  2.082843e+01,  2.448503e+06,  8.628951e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.439953e-05,  3.17566151e+00
  6.35617476e-02,  3.17686510e-02,  6.35252661e-02,           1,    1.420000e-02,  1.483819e+02,  1.483819e+02,  2.116039e+01,  2.082843e+01,  2.447593e+06,  8.598506e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.450418e-05,  3.17686510e+00
  9.53798623e-02,  3.17808738e-02,  9.53061399e-02,           1,    1.420000e-02,  1.479176e+02,  1.479176e+02,  2.130567e+01,  2.082843e+01,  2.446801e+06,  8.568445e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.460950e-05,  3.17808738e+00
  1.27223584e-01,  3.17932874e-02,  1.27099427e-01,           1,    1.420000e-02,  1.474498e+02,  1.474498e+02,  2.145115e+01,  2.082843e+01,  2.446123e+06,  8.538749e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.471556e-05,  3.17932874e+00
  1.59093519e-01,  3.18058960e-02,  1.58905323e-01,           1,    1.420000e-02,  1.469783e+02,  1.469783e+02,  2.159688e+01,  2.082843e+01,  2.445555e+06,  8.509398e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.482239e-05,  3.18058960e+00
  1.90990292e-01,  3.18187039e-02,  1.90724027e-01,           1,    1.420000e-02,  1.465033e+02,  1.465033e+02,  2.174292e+01,  2.082843e+01,  2.445095e+06,  8.480373e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.493003e-05,  3.18187039e+00
  2.22914545e-01,  3.18317153e-02,  2.22555743e-01,           1,    1.420000e-02,  1.460246e+02,  1.460246e+02,  2.188934e+01,  2.082843e+01,  2.444738e+06,  8.451654e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.503852e-05,  3.18317153e+00
  2.54866940e-01,  3.18449350e-02,  2.54400678e-01,           1,    1.420000e-02,  1.455422e+02,  1.455422e+02,  2.203620e+01,  2.082843e+01,  2.444481e+06,  8.423222e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.514789e-05,  3.18449350e+00
  2.86848161e-01,  3.18583675e-02,  2.86259045e-01,           1,    1.420000e-02,  1.450561e+02,  1.450561e+02,  2.218357e+01,  2.082843e+01,  2.444320e+06,  8.395059e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.525817e-05,  3.18583675e+00
  3.18858910e-01,  3.18720178e-02,  3.18131063e-01,           1,    1.420000e-02,  1.445662e+02,  1.445662e+02,  2.233152e+01,  2.082843e+01,  2.444252e+06,  8.367146e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.536939e-05,  3.18720178e+00
  3.50899914e-01,  3.18858910e-02,  3.50016954e-01,           1,    1.420000e-02,  1.440726e+02,  1.440726e+02,  2.248011e+01,  2.082843e+01,  2.444271e+06,  8.339464e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.548155e-05,  3.18858910e+00
  3.82971921e-01,  3.18999922e-02,  3.81916946e-01,           1,    1.420000e-02,  1.435751e+02,  1.435751e+02,  2.262943e+01,  2.082843e+01,  2.444376e+06,  8.311994e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.559469e-05,  3.18999922e+00
  4.15075703e-01,  3.19143267e-02,  4.13831273e-01,           1,    1.420000e-02,  1.430738e+02,  1.430738e+02,  2.277954e+01,  2.082843e+01,  2.444560e+06,  8.284718e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.570880e-05,  3.19143267e+00
  4.47212057e-01,  3.19289002e-02,  4.45760173e-01,           1,    1.420000e-02,  1.425686e+02,  1.425686e+02,  2.293052e+01,  2.082843e+01,  2.444821e+06,  8.257618e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.582389e-05,  3.19289002e+00
  4.79381806e-01,  3.19437184e-02,  4.77703891e-01,           1,    1.420000e-02,  1.420594e+02,  1.420594e+02,  2.308246e+01,  2.082843e+01,  2.445153e+06,  8.230676e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.593997e-05,  3.19437184e+00
  5.11585796e-01,  3.19587870e-02,  5.09662678e-01,           1,    1.420000e-02,  1.415462e+02,  1.415462e+02,  2.323543e+01,  2.082843e+01,  2.445553e+06,  8.203873e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.605702e-05,  3.19587870e+00
  5.43824906e-01,  3.19741123e-02,  5.41636791e-01,           1,    1.420000e-02,  1.410290e+02,  1.410290e+02,  2.338952e+01,  2.082843e+01,  2.446016e+06,  8.177192e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.617504e-05,  3.19741123e+00
  5.76100037e-01,  3.19897003e-02,  5.73626491e-01,           1,    1.420000e-02,  1.405078e+02,  1.405078e+02,  2.354481e+01,  2.082843e+01,  2.446537e+06,  8.150615e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.629401e-05,  3.19897003e+00
  6.08412123e-01,  3.20055576e-02,  6.05632049e-01,           1,    1.420000e-02,  1.399825e+02,  1.399825e+02,  2.370139e+01,  2.082843e+01,  2.447113e+06,  8.124124e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.641391e-05,  3.20055576e+00
  6.40762126e-01,  3.20216907e-02,  6.37653739e-01,           1,    1.420000e-02,  1.394530e+02,  1.394530e+02,  2.385936e+01,  2.082843e+01,  2.447738e+06,  8.097703e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.653472e-05,  3.20216907e+00
  6.73151040e-01,  3.20381063e-02,  6.69691846e-01,           1,    1.420000e-02,  1.389193e+02,  1.389193e+02,  2.401880e+01,  2.082843e+01,  2.448407e+06,  8.071333e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.665639e-05,  3.20381063e+00
  7.05579890e-01,  3.20548114e-02,  7.01746657e-01,           1,    1.420000e-02,  1.383815e+02,  1.383815e+02,  2.417982e+01,  2.082843e+01,  2.449116e+06,  8.044997e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.677889e-05,  3.20548114e+00
  7.38049734e-01,  3.20718132e-02,  7.33818470e-01,           1,    1.420000e-02,  1.378394e+02,  1.378394e+02,  2.434250e+01,  2.082843e+01,  2.449860e+06,  8.018678e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.690218e-05,  3.20718132e+00
  7.70561663e-01,  3.20891189e-02,  7.65907589e-01,           1,    1.420000e-02,  1.372931e+02,  1.372931e+02,  2.450695e+01,  2.082843e+01,  2.450634e+06,  7.992359e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.702619e-05,  3.20891189e+00
  8.03116803e-01,  3.21067360e-02,  7.98014325e-01,           1,    1.420000e-02,  1.367424e+02,  1.367424e+02,  2.467328e+01,  2.082843e+01,  2.451433e+06,  7.966024e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.715087e-05,  3.21067360e+00
  8.35716316e-01,  3.21246721e-02,  8.30138997e-01,           1,    1.420000e-02,  1.361874e+02,  1.361874e+02,  2.484159e+01,  2.082843e+01,  2.452252e+06,  7.939654e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.727615e-05,  3.21246721e+00
  8.68361397e-01,  3.21429352e-02,  8.62281932e-01,           1,    1.420000e-02,  1.356281e+02,  1.356281e+02,  2.501199e+01,  2.082843e+01,  2.453085e+06,  7.913235e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.740196e-05,  3.21429352e+00
  9.01053281e-01,  3.21615332e-02,  8.94443466e-01,           1,    1.420000e-02,  1.350643e+02,  1.350643e+02,  2.518459e+01,  2.082843e+01,  2.453928e+06,  7.886749e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.752820e-05,  3.21615332e+00
  9.33793241e-01,  3.21804743e-02,  9.26623940e-01,           1,    1.420000e-02,  1.344962e+02,  1.344962e+02,  2.535952e+01,  2.082843e+01,  2.454776e+06,  7.860179e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.765480e-05,  3.21804743e+00
  9.66582584e-01,  3.21997669e-02,  9.58823707e-01,           1,    1.420000e-02,  1.339236e+02,  1.339236e+02,  2.553689e+01,  2.082843e+01,  2.455622e+06,  7.833510e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.778164e-05,  3.21997669e+00
  9.99422662e-01,  3.22194195e-02,  9.91043126e-01,           1,    1.420000e-02,  1.333466e+02,  1.333466e+02,  2.571682e+01,  2.082843e+01,  2.456462e+06,  7.806724e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.790863e-05,  3.22194195e+00
