     FLOAT      ,     FLOAT      ,     FLOAT      ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      
      Myr       ,      Myr       ,      Myr       ,     -      ,       -        ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,     Lsol     ,     Tsol     ,     Msol     ,     Msol     ,     Msol     ,  Msol yr^-1  ,      Myr       
      Age       ,       dT       ,      Time      ,Stellar_Type,Metallicity@ZAMS,    Mass_0    ,     Mass     ,    Radius    ,    R@ZAMS    ,  Luminosity  ,     Teff     ,  Mass_Core   , Mass_CO_Core , Mass_He_Core ,     Mdot     ,      tMS       
  3.11004416e-02,  3.10895538e-02,  3.10895538e-02,           1,    1.420000e-02,  1.811851e+02,  1.811851e+02,  2.395145e+01,  2.371655e+01,  3.358882e+06,  8.747477e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.186885e-05,  3.10895538e+00
  6.22230209e-02,  3.11004416e-02,  6.21899955e-02,           1,    1.420000e-02,  1.805004e+02,  1.805004e+02,  2.412844e+01,  2.371655e+01,  3.353649e+06,  8.711939e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.201484e-05,  3.11004416e+00
  9.33682924e-02,  3.11115105e-02,  9.33015059e-02,           1,    1.420000e-02,  1.798110e+02,  1.798110e+02,  2.430529e+01,  2.371655e+01,  3.348597e+06,  8.676915e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.216085e-05,  3.11115105e+00
  1.24536826e-01,  3.11227641e-02,  1.24424270e-01,           1,    1.420000e-02,  1.791167e+02,  1.791167e+02,  2.448204e+01,  2.371655e+01,  3.343718e+06,  8.642385e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.230697e-05,  3.11227641e+00
  1.55729208e-01,  3.11342065e-02,  1.55558477e-01,           1,    1.420000e-02,  1.784177e+02,  1.784177e+02,  2.465873e+01,  2.371655e+01,  3.339007e+06,  8.608331e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.245327e-05,  3.11342065e+00
  1.86946042e-01,  3.11458416e-02,  1.86704318e-01,           1,    1.420000e-02,  1.777138e+02,  1.777138e+02,  2.483542e+01,  2.371655e+01,  3.334460e+06,  8.574732e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.259982e-05,  3.11458416e+00
  2.18187950e-01,  3.11576737e-02,  2.17861992e-01,           1,    1.420000e-02,  1.770050e+02,  1.770050e+02,  2.501216e+01,  2.371655e+01,  3.330068e+06,  8.541570e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.274669e-05,  3.11576737e+00
  2.49455573e-01,  3.11697072e-02,  2.49031699e-01,           1,    1.420000e-02,  1.762914e+02,  1.762914e+02,  2.518899e+01,  2.371655e+01,  3.325827e+06,  8.508824e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.289393e-05,  3.11697072e+00
  2.80749569e-01,  3.11819466e-02,  2.80213646e-01,           1,    1.420000e-02,  1.755730e+02,  1.755730e+02,  2.536596e+01,  2.371655e+01,  3.321729e+06,  8.476477e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.304160e-05,  3.11819466e+00
  3.12070619e-01,  3.11943965e-02,  3.11408042e-01,           1,    1.420000e-02,  1.748496e+02,  1.748496e+02,  2.554315e+01,  2.371655e+01,  3.317769e+06,  8.444508e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.318974e-05,  3.11943965e+00
  3.43419427e-01,  3.12070619e-02,  3.42615104e-01,           1,    1.420000e-02,  1.741212e+02,  1.741212e+02,  2.572060e+01,  2.371655e+01,  3.313941e+06,  8.412897e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.333839e-05,  3.12070619e+00
  3.74796714e-01,  3.12199479e-02,  3.73835052e-01,           1,    1.420000e-02,  1.733880e+02,  1.733880e+02,  2.589839e+01,  2.371655e+01,  3.310236e+06,  8.381627e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.348757e-05,  3.12199479e+00
  4.06203230e-01,  3.12330595e-02,  4.05068112e-01,           1,    1.420000e-02,  1.726497e+02,  1.726497e+02,  2.607658e+01,  2.371655e+01,  3.306649e+06,  8.350678e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.363732e-05,  3.12330595e+00
  4.37639745e-01,  3.12464023e-02,  4.36314514e-01,           1,    1.420000e-02,  1.719064e+02,  1.719064e+02,  2.625523e+01,  2.371655e+01,  3.303172e+06,  8.320029e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.378765e-05,  3.12464023e+00
  4.69107056e-01,  3.12599818e-02,  4.67574496e-01,           1,    1.420000e-02,  1.711581e+02,  1.711581e+02,  2.643443e+01,  2.371655e+01,  3.299799e+06,  8.289664e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.393857e-05,  3.12599818e+00
  5.00605985e-01,  3.12738037e-02,  4.98848299e-01,           1,    1.420000e-02,  1.704047e+02,  1.704047e+02,  2.661424e+01,  2.371655e+01,  3.296522e+06,  8.259561e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.409007e-05,  3.12738037e+00
  5.32137382e-01,  3.12878740e-02,  5.30136173e-01,           1,    1.420000e-02,  1.696462e+02,  1.696462e+02,  2.679475e+01,  2.371655e+01,  3.293335e+06,  8.229703e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.424215e-05,  3.12878740e+00
  5.63702124e-01,  3.13021989e-02,  5.61438372e-01,           1,    1.420000e-02,  1.688826e+02,  1.688826e+02,  2.697603e+01,  2.371655e+01,  3.290229e+06,  8.200069e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.439479e-05,  3.13021989e+00
  5.95301119e-01,  3.13167847e-02,  5.92755157e-01,           1,    1.420000e-02,  1.681139e+02,  1.681139e+02,  2.715817e+01,  2.371655e+01,  3.287197e+06,  8.170642e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.454796e-05,  3.13167847e+00
  6.26935302e-01,  3.13316378e-02,  6.24086795e-01,           1,    1.420000e-02,  1.673399e+02,  1.673399e+02,  2.734127e+01,  2.371655e+01,  3.284233e+06,  8.141401e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.470163e-05,  3.13316378e+00
  6.58605641e-01,  3.13467651e-02,  6.55433560e-01,           1,    1.420000e-02,  1.665608e+02,  1.665608e+02,  2.752540e+01,  2.371655e+01,  3.281327e+06,  8.112328e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.485575e-05,  3.13467651e+00
  6.90313135e-01,  3.13621734e-02,  6.86795733e-01,           1,    1.420000e-02,  1.657764e+02,  1.657764e+02,  2.771068e+01,  2.371655e+01,  3.278472e+06,  8.083405e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.501027e-05,  3.13621734e+00
  7.22058817e-01,  3.13778698e-02,  7.18173603e-01,           1,    1.420000e-02,  1.649868e+02,  1.649868e+02,  2.789719e+01,  2.371655e+01,  3.275661e+06,  8.054611e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.516511e-05,  3.13778698e+00
  7.53843754e-01,  3.13938616e-02,  7.49567465e-01,           1,    1.420000e-02,  1.641919e+02,  1.641919e+02,  2.808504e+01,  2.371655e+01,  3.272886e+06,  8.025927e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.532021e-05,  3.13938616e+00
  7.85669047e-01,  3.14101564e-02,  7.80977621e-01,           1,    1.420000e-02,  1.633917e+02,  1.633917e+02,  2.827433e+01,  2.371655e+01,  3.270138e+06,  7.997336e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.547547e-05,  3.14101564e+00
  8.17535834e-01,  3.14267619e-02,  8.12404383e-01,           1,    1.420000e-02,  1.625862e+02,  1.625862e+02,  2.846518e+01,  2.371655e+01,  3.267410e+06,  7.968818e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.563079e-05,  3.14267619e+00
  8.49445291e-01,  3.14436859e-02,  8.43848069e-01,           1,    1.420000e-02,  1.617754e+02,  1.617754e+02,  2.865770e+01,  2.371655e+01,  3.264692e+06,  7.940354e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.578608e-05,  3.14436859e+00
  8.81398628e-01,  3.14609367e-02,  8.75309006e-01,           1,    1.420000e-02,  1.609592e+02,  1.609592e+02,  2.885202e+01,  2.371655e+01,  3.261978e+06,  7.911926e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.594119e-05,  3.14609367e+00
  9.13397100e-01,  3.14785224e-02,  9.06787528e-01,           1,    1.420000e-02,  1.601378e+02,  1.601378e+02,  2.904824e+01,  2.371655e+01,  3.259259e+06,  7.883513e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.609601e-05,  3.14785224e+00
  9.45441996e-01,  3.14964517e-02,  9.38283980e-01,           1,    1.420000e-02,  1.593110e+02,  1.593110e+02,  2.924652e+01,  2.371655e+01,  3.256527e+06,  7.855097e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.625038e-05,  3.14964517e+00
  9.77534650e-01,  3.15147332e-02,  9.69798713e-01,           1,    1.420000e-02,  1.584789e+02,  1.584789e+02,  2.944698e+01,  2.371655e+01,  3.253773e+06,  7.826660e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.640414e-05,  3.15147332e+00
