     FLOAT      ,     FLOAT      ,     FLOAT      ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      
      Myr       ,      Myr       ,      Myr       ,     -      ,       -        ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,     Lsol     ,     Tsol     ,     Msol     ,     Msol     ,     Msol     ,  Msol yr^-1  ,      Myr       
      Age       ,       dT       ,      Time      ,Stellar_Type,Metallicity@ZAMS,    Mass_0    ,     Mass     ,    Radius    ,    R@ZAMS    ,  Luminosity  ,     Teff     ,  Mass_Core   , Mass_CO_Core , Mass_He_Core ,     Mdot     ,      tMS       
  1.62217124e-01,  1.62212362e-01,  1.62212362e-01,           1,    1.420000e-02,  1.299475e+01,  1.299475e+01,  4.409403e+00,  4.387191e+00,  1.241086e+04,  5.026441e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.531049e-09,  1.62212362e+01
  3.24443825e-01,  1.62217124e-01,  3.24429487e-01,           1,    1.420000e-02,  1.299450e+01,  1.299450e+01,  4.431684e+00,  4.387191e+00,  1.247093e+04,  5.019845e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.539336e-09,  1.62217124e+01
  4.86680184e-01,  1.62221912e-01,  4.86651399e-01,           1,    1.420000e-02,  1.299425e+01,  1.299425e+01,  4.454094e+00,  4.387191e+00,  1.253255e+04,  5.013375e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.548130e-09,  1.62221912e+01
  6.48926293e-01,  1.62226728e-01,  6.48878127e-01,           1,    1.420000e-02,  1.299400e+01,  1.299400e+01,  4.476642e+00,  4.387191e+00,  1.259574e+04,  5.007025e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.557432e-09,  1.62226728e+01
  8.11182247e-01,  1.62231573e-01,  8.11109700e-01,           1,    1.420000e-02,  1.299374e+01,  1.299374e+01,  4.499337e+00,  4.387191e+00,  1.266052e+04,  5.000791e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.567248e-09,  1.62231573e+01
  9.73448148e-01,  1.62236449e-01,  9.73346150e-01,           1,    1.420000e-02,  1.299349e+01,  1.299349e+01,  4.522188e+00,  4.387191e+00,  1.272692e+04,  4.994667e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.577581e-09,  1.62236449e+01
  1.13572411e+00,  1.62241358e-01,  1.13558751e+00,           1,    1.420000e-02,  1.299323e+01,  1.299323e+01,  4.545205e+00,  4.387191e+00,  1.279495e+04,  4.988649e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.588437e-09,  1.62241358e+01
  1.29801024e+00,  1.62246301e-01,  1.29783381e+00,           1,    1.420000e-02,  1.299297e+01,  1.299297e+01,  4.568398e+00,  4.387191e+00,  1.286464e+04,  4.982731e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.599820e-09,  1.62246301e+01
  1.46030667e+00,  1.62251280e-01,  1.46008509e+00,           1,    1.420000e-02,  1.299271e+01,  1.299271e+01,  4.591776e+00,  4.387191e+00,  1.293601e+04,  4.976909e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.611734e-09,  1.62251280e+01
  1.62261352e+00,  1.62256296e-01,  1.62234138e+00,           1,    1.420000e-02,  1.299245e+01,  1.299245e+01,  4.615351e+00,  4.387191e+00,  1.300908e+04,  4.971178e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.624187e-09,  1.62256296e+01
  1.78493093e+00,  1.62261352e-01,  1.78460274e+00,           1,    1.420000e-02,  1.299218e+01,  1.299218e+01,  4.639131e+00,  4.387191e+00,  1.308388e+04,  4.965532e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.637183e-09,  1.62261352e+01
  1.94725905e+00,  1.62266448e-01,  1.94686919e+00,           1,    1.420000e-02,  1.299191e+01,  1.299191e+01,  4.663128e+00,  4.387191e+00,  1.316042e+04,  4.959967e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.650728e-09,  1.62266448e+01
  2.10959803e+00,  1.62271588e-01,  2.10914077e+00,           1,    1.420000e-02,  1.299164e+01,  1.299164e+01,  4.687352e+00,  4.387191e+00,  1.323875e+04,  4.954478e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.664828e-09,  1.62271588e+01
  2.27194801e+00,  1.62276771e-01,  2.27141754e+00,           1,    1.420000e-02,  1.299137e+01,  1.299137e+01,  4.711815e+00,  4.387191e+00,  1.331888e+04,  4.949061e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.679491e-09,  1.62276771e+01
  2.43430918e+00,  1.62282001e-01,  2.43369955e+00,           1,    1.420000e-02,  1.299109e+01,  1.299109e+01,  4.736527e+00,  4.387191e+00,  1.340084e+04,  4.943710e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.694724e-09,  1.62282001e+01
  2.59668170e+00,  1.62287279e-01,  2.59598682e+00,           1,    1.420000e-02,  1.299082e+01,  1.299082e+01,  4.761500e+00,  4.387191e+00,  1.348466e+04,  4.938421e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.710532e-09,  1.62287279e+01
  2.75906575e+00,  1.62292606e-01,  2.75827943e+00,           1,    1.420000e-02,  1.299054e+01,  1.299054e+01,  4.786745e+00,  4.387191e+00,  1.357036e+04,  4.933188e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.726924e-09,  1.62292606e+01
  2.92146152e+00,  1.62297985e-01,  2.92057742e+00,           1,    1.420000e-02,  1.299025e+01,  1.299025e+01,  4.812274e+00,  4.387191e+00,  1.365798e+04,  4.928008e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.743908e-09,  1.62297985e+01
  3.08386920e+00,  1.62303418e-01,  3.08288083e+00,           1,    1.420000e-02,  1.298997e+01,  1.298997e+01,  4.838099e+00,  4.387191e+00,  1.374754e+04,  4.922876e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.761491e-09,  1.62303418e+01
  3.24628901e+00,  1.62308906e-01,  3.24518974e+00,           1,    1.420000e-02,  1.298968e+01,  1.298968e+01,  4.864233e+00,  4.387191e+00,  1.383908e+04,  4.917786e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.779681e-09,  1.62308906e+01
  3.40872115e+00,  1.62314451e-01,  3.40750419e+00,           1,    1.420000e-02,  1.298939e+01,  1.298939e+01,  4.890687e+00,  4.387191e+00,  1.393262e+04,  4.912734e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.798487e-09,  1.62314451e+01
  3.57116584e+00,  1.62320055e-01,  3.56982424e+00,           1,    1.420000e-02,  1.298909e+01,  1.298909e+01,  4.917475e+00,  4.387191e+00,  1.402820e+04,  4.907716e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.817919e-09,  1.62320055e+01
  3.73362332e+00,  1.62325720e-01,  3.73214996e+00,           1,    1.420000e-02,  1.298879e+01,  1.298879e+01,  4.944610e+00,  4.387191e+00,  1.412585e+04,  4.902726e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.837984e-09,  1.62325720e+01
  3.89609382e+00,  1.62331449e-01,  3.89448141e+00,           1,    1.420000e-02,  1.298849e+01,  1.298849e+01,  4.972105e+00,  4.387191e+00,  1.422561e+04,  4.897761e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.858692e-09,  1.62331449e+01
  4.05857758e+00,  1.62337242e-01,  4.05681865e+00,           1,    1.420000e-02,  1.298819e+01,  1.298819e+01,  4.999973e+00,  4.387191e+00,  1.432751e+04,  4.892816e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.880052e-09,  1.62337242e+01
  4.22107487e+00,  1.62343103e-01,  4.21916176e+00,           1,    1.420000e-02,  1.298788e+01,  1.298788e+01,  5.028229e+00,  4.387191e+00,  1.443158e+04,  4.887885e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.902074e-09,  1.62343103e+01
  4.38358595e+00,  1.62349033e-01,  4.38151079e+00,           1,    1.420000e-02,  1.298757e+01,  1.298757e+01,  5.056886e+00,  4.387191e+00,  1.453787e+04,  4.882965e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.924769e-09,  1.62349033e+01
  4.54611109e+00,  1.62355035e-01,  4.54386583e+00,           1,    1.420000e-02,  1.298725e+01,  1.298725e+01,  5.085959e+00,  4.387191e+00,  1.464640e+04,  4.878051e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.948145e-09,  1.62355035e+01
  4.70865057e+00,  1.62361110e-01,  4.70622694e+00,           1,    1.420000e-02,  1.298693e+01,  1.298693e+01,  5.115463e+00,  4.387191e+00,  1.475722e+04,  4.873137e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.972214e-09,  1.62361110e+01
  4.87120470e+00,  1.62367261e-01,  4.86859420e+00,           1,    1.420000e-02,  1.298660e+01,  1.298660e+01,  5.145413e+00,  4.387191e+00,  1.487036e+04,  4.868221e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.996986e-09,  1.62367261e+01
  5.03377378e+00,  1.62373490e-01,  5.03096769e+00,           1,    1.420000e-02,  1.298628e+01,  1.298628e+01,  5.175824e+00,  4.387191e+00,  1.498588e+04,  4.863297e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.022470e-09,  1.62373490e+01
