    INT     	       FLOAT        	        FLOAT         	      FLOAT      	      FLOAT      	    FLOAT     	    FLOAT     	  INT  	    FLOAT     	     FLOAT     	    FLOAT     	    INT     	       INT       	    FLOAT     	     FLOAT     	     FLOAT      	      BOOL      
     -      	       kms^-1       	        kms^-1        	        -        	        -        	      -       	      -       	   -   	     Msol     	     Msol      	     Msol     	     -      	        -        	     Msol     	     Msol      	      Myr       	     State      
    SEED    	Drawn_Kick_Magnitude	Applied_Kick_Magnitude	Fallback_Fraction	True_Anomaly(psi)	SN_Kick_Theta 	 SN_Kick_Phi  	SN_Type	Mass_Total@CO 	Mass_CO_Core@CO	     Mass     	Stellar_Type	Stellar_Type_Prev	 Mass_Core@CO 	Mass_He_Core@CO	      Time      	Is_Hydrogen_Poor
  1602832277	        0.000000e+00	          0.000000e+00	     0.000000e+00	     0.000000e+00	  0.000000e+00	  0.000000e+00	      0	  1.400000e+00	   1.380000e+00	  0.000000e+00	          15	                6	  1.380000e+00	   1.380000e+00	  2.92008456e+03	0
  1602832278	        0.000000e+00	          0.000000e+00	     0.000000e+00	     0.000000e+00	  0.000000e+00	  0.000000e+00	      0	  1.500000e+00	   1.380001e+00	  0.000000e+00	          15	                6	  1.380001e+00	   1.380001e+00	  2.37703180e+03	0
