     FLOAT      ,     FLOAT      ,     FLOAT      ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      
      Myr       ,      Myr       ,      Myr       ,     -      ,       -        ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,     Lsol     ,     Tsol     ,     Msol     ,     Msol     ,     Msol     ,  Msol yr^-1  ,      Myr       
      Age       ,       dT       ,      Time      ,Stellar_Type,Metallicity@ZAMS,    Mass_0    ,     Mass     ,    Radius    ,    R@ZAMS    ,  Luminosity  ,     Teff     ,  Mass_Core   , Mass_CO_Core , Mass_He_Core ,     Mdot     ,      tMS       
  3.40848197e-02,  3.40702772e-02,  3.40702772e-02,           1,    1.420000e-02,  9.782464e+01,  9.782464e+01,  1.589250e+01,  1.577423e+01,  1.216881e+06,  8.331360e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.587268e-06,  3.40702772e+00
  6.81991287e-02,  3.40848197e-02,  6.81550968e-02,           1,    1.420000e-02,  9.763259e+01,  9.763259e+01,  1.599103e+01,  1.577423e+01,  1.218927e+06,  8.309144e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.634423e-06,  3.40848197e+00
  1.02343546e-01,  3.40995643e-02,  1.02254661e-01,           1,    1.420000e-02,  9.743883e+01,  9.743883e+01,  1.608989e+01,  1.577423e+01,  1.221024e+06,  8.287137e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.682150e-06,  3.40995643e+00
  1.36518709e-01,  3.41145154e-02,  1.36369177e-01,           1,    1.420000e-02,  9.724334e+01,  9.724334e+01,  1.618915e+01,  1.577423e+01,  1.223171e+06,  8.265321e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.730467e-06,  3.41145154e+00
  1.70725271e-01,  3.41296772e-02,  1.70498854e-01,           1,    1.420000e-02,  9.704609e+01,  9.704609e+01,  1.628886e+01,  1.577423e+01,  1.225366e+06,  8.243679e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.779388e-06,  3.41296772e+00
  2.04963904e-01,  3.41450541e-02,  2.04643908e-01,           1,    1.420000e-02,  9.684706e+01,  9.684706e+01,  1.638909e+01,  1.577423e+01,  1.227610e+06,  8.222193e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.828927e-06,  3.41450541e+00
  2.39235302e-01,  3.41606507e-02,  2.38804559e-01,           1,    1.420000e-02,  9.664623e+01,  9.664623e+01,  1.648989e+01,  1.577423e+01,  1.229901e+06,  8.200846e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.879097e-06,  3.41606507e+00
  2.73540176e-01,  3.41764718e-02,  2.72981030e-01,           1,    1.420000e-02,  9.644357e+01,  9.644357e+01,  1.659133e+01,  1.577423e+01,  1.232238e+06,  8.179620e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.929910e-06,  3.41764718e+00
  3.07879260e-01,  3.41925221e-02,  3.07173552e-01,           1,    1.420000e-02,  9.623905e+01,  9.623905e+01,  1.669346e+01,  1.577423e+01,  1.234621e+06,  8.158498e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  5.981375e-06,  3.41925221e+00
  3.42253306e-01,  3.42088066e-02,  3.41382359e-01,           1,    1.420000e-02,  9.603265e+01,  9.603265e+01,  1.679636e+01,  1.577423e+01,  1.237048e+06,  8.137464e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.033503e-06,  3.42088066e+00
  3.76663091e-01,  3.42253306e-02,  3.75607690e-01,           1,    1.420000e-02,  9.582434e+01,  9.582434e+01,  1.690008e+01,  1.577423e+01,  1.239518e+06,  8.116501e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.086302e-06,  3.42253306e+00
  4.11109415e-01,  3.42420992e-02,  4.09849789e-01,           1,    1.420000e-02,  9.561410e+01,  9.561410e+01,  1.700470e+01,  1.577423e+01,  1.242031e+06,  8.095593e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.139777e-06,  3.42420992e+00
  4.45593099e-01,  3.42591179e-02,  4.44108907e-01,           1,    1.420000e-02,  9.540191e+01,  9.540191e+01,  1.711028e+01,  1.577423e+01,  1.244585e+06,  8.074722e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.193935e-06,  3.42591179e+00
  4.80114991e-01,  3.42763923e-02,  4.78385299e-01,           1,    1.420000e-02,  9.518772e+01,  9.518772e+01,  1.721689e+01,  1.577423e+01,  1.247179e+06,  8.053874e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.248779e-06,  3.42763923e+00
  5.14675962e-01,  3.42939279e-02,  5.12679227e-01,           1,    1.420000e-02,  9.497152e+01,  9.497152e+01,  1.732460e+01,  1.577423e+01,  1.249811e+06,  8.033032e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.304311e-06,  3.42939279e+00
  5.49276909e-01,  3.43117308e-02,  5.46990958e-01,           1,    1.420000e-02,  9.475328e+01,  9.475328e+01,  1.743349e+01,  1.577423e+01,  1.252482e+06,  8.012180e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.360533e-06,  3.43117308e+00
  5.83918757e-01,  3.43298068e-02,  5.81320765e-01,           1,    1.420000e-02,  9.453297e+01,  9.453297e+01,  1.754362e+01,  1.577423e+01,  1.255189e+06,  7.991304e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.417443e-06,  3.43298068e+00
  6.18602456e-01,  3.43481622e-02,  6.15668927e-01,           1,    1.420000e-02,  9.431056e+01,  9.431056e+01,  1.765508e+01,  1.577423e+01,  1.257931e+06,  7.970387e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.475039e-06,  3.43481622e+00
  6.53328985e-01,  3.43668031e-02,  6.50035730e-01,           1,    1.420000e-02,  9.408604e+01,  9.408604e+01,  1.776793e+01,  1.577423e+01,  1.260708e+06,  7.949415e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.533316e-06,  3.43668031e+00
  6.88099352e-01,  3.43857361e-02,  6.84421466e-01,           1,    1.420000e-02,  9.385936e+01,  9.385936e+01,  1.788226e+01,  1.577423e+01,  1.263517e+06,  7.928373e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.592269e-06,  3.43857361e+00
  7.22914593e-01,  3.44049676e-02,  7.18826434e-01,           1,    1.420000e-02,  9.363050e+01,  9.363050e+01,  1.799814e+01,  1.577423e+01,  1.266357e+06,  7.907246e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.651888e-06,  3.44049676e+00
  7.57775775e-01,  3.44245044e-02,  7.53250938e-01,           1,    1.420000e-02,  9.339943e+01,  9.339943e+01,  1.811566e+01,  1.577423e+01,  1.269228e+06,  7.886018e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.712163e-06,  3.44245044e+00
  7.92683996e-01,  3.44443534e-02,  7.87695291e-01,           1,    1.420000e-02,  9.316614e+01,  9.316614e+01,  1.823490e+01,  1.577423e+01,  1.272127e+06,  7.864677e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.773082e-06,  3.44443534e+00
  8.27640384e-01,  3.44645216e-02,  8.22159813e-01,           1,    1.420000e-02,  9.293059e+01,  9.293059e+01,  1.835594e+01,  1.577423e+01,  1.275053e+06,  7.843208e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.834629e-06,  3.44645216e+00
  8.62646100e-01,  3.44850160e-02,  8.56644829e-01,           1,    1.420000e-02,  9.269275e+01,  9.269275e+01,  1.847887e+01,  1.577423e+01,  1.278005e+06,  7.821597e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.896788e-06,  3.44850160e+00
  8.97702336e-01,  3.45058440e-02,  8.91150673e-01,           1,    1.420000e-02,  9.245261e+01,  9.245261e+01,  1.860377e+01,  1.577423e+01,  1.280981e+06,  7.799830e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  6.959538e-06,  3.45058440e+00
  9.32810321e-01,  3.45270129e-02,  9.25677686e-01,           1,    1.420000e-02,  9.221013e+01,  9.221013e+01,  1.873074e+01,  1.577423e+01,  1.283979e+06,  7.777893e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.022857e-06,  3.45270129e+00
  9.67971313e-01,  3.45485304e-02,  9.60226216e-01,           1,    1.420000e-02,  9.196529e+01,  9.196529e+01,  1.885988e+01,  1.577423e+01,  1.286999e+06,  7.755774e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.086720e-06,  3.45485304e+00
  1.00318661e+00,  3.45704040e-02,  9.94796620e-01,           1,    1.420000e-02,  9.171808e+01,  9.171808e+01,  1.899126e+01,  1.577423e+01,  1.290038e+06,  7.733458e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.151098e-06,  3.45704040e+00
  1.03845753e+00,  3.45926416e-02,  1.02938926e+00,           1,    1.420000e-02,  9.146846e+01,  9.146846e+01,  1.912500e+01,  1.577423e+01,  1.293095e+06,  7.710933e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.215961e-06,  3.45926416e+00
  1.07378545e+00,  3.46152510e-02,  1.06400451e+00,           1,    1.420000e-02,  9.121641e+01,  9.121641e+01,  1.926119e+01,  1.577423e+01,  1.296169e+06,  7.688186e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  7.281274e-06,  3.46152510e+00
