     FLOAT      ,     FLOAT      ,     FLOAT      ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,     FLOAT      
      Myr       ,      Myr       ,      Myr       ,     -      ,       -        ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,     Lsol     ,     Tsol     ,     Msol     ,     Msol     ,     Msol     ,  Msol yr^-1  ,      Myr       
      Age       ,       dT       ,      Time      ,Stellar_Type,Metallicity@ZAMS,    Mass_0    ,     Mass     ,    Radius    ,    R@ZAMS    ,  Luminosity  ,     Teff     ,  Mass_Core   , Mass_CO_Core , Mass_He_Core ,     Mdot     ,      tMS       
  3.14934694e-02,  3.14818711e-02,  3.14818711e-02,           1,    1.420000e-02,  1.602737e+02,  1.602737e+02,  2.207642e+01,  2.187302e+01,  2.759664e+06,  8.674604e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.687719e-05,  3.14818711e+00
  6.30105046e-02,  3.14934694e-02,  6.29753405e-02,           1,    1.420000e-02,  1.597384e+02,  1.597384e+02,  2.223261e+01,  2.187302e+01,  2.757459e+06,  8.642354e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.699609e-05,  3.14934694e+00
  9.45516707e-02,  3.15052523e-02,  9.44805928e-02,           1,    1.420000e-02,  1.591992e+02,  1.591992e+02,  2.238884e+01,  2.187302e+01,  2.755392e+06,  8.610532e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.711554e-05,  3.15052523e+00
  1.26117549e-01,  3.15172236e-02,  1.25997816e-01,           1,    1.420000e-02,  1.586560e+02,  1.586560e+02,  2.254518e+01,  2.187302e+01,  2.753458e+06,  8.579120e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.723558e-05,  3.15172236e+00
  1.57708738e-01,  3.15293873e-02,  1.57527204e-01,           1,    1.420000e-02,  1.581087e+02,  1.581087e+02,  2.270168e+01,  2.187302e+01,  2.751654e+06,  8.548096e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.735628e-05,  3.15293873e+00
  1.89325854e-01,  3.15417477e-02,  1.89068951e-01,           1,    1.420000e-02,  1.575575e+02,  1.575575e+02,  2.285840e+01,  2.187302e+01,  2.749974e+06,  8.517442e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.747767e-05,  3.15417477e+00
  2.20969531e-01,  3.15543090e-02,  2.20623260e-01,           1,    1.420000e-02,  1.570021e+02,  1.570021e+02,  2.301540e+01,  2.187302e+01,  2.748415e+06,  8.487139e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.759982e-05,  3.15543090e+00
  2.52640423e-01,  3.15670759e-02,  2.52190336e-01,           1,    1.420000e-02,  1.564426e+02,  1.564426e+02,  2.317274e+01,  2.187302e+01,  2.746973e+06,  8.457168e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.772274e-05,  3.15670759e+00
  2.84339204e-01,  3.15800529e-02,  2.83770389e-01,           1,    1.420000e-02,  1.558791e+02,  1.558791e+02,  2.333048e+01,  2.187302e+01,  2.745642e+06,  8.427508e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.784649e-05,  3.15800529e+00
  3.16066568e-01,  3.15932449e-02,  3.15363634e-01,           1,    1.420000e-02,  1.553113e+02,  1.553113e+02,  2.348868e+01,  2.187302e+01,  2.744417e+06,  8.398141e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.797109e-05,  3.15932449e+00
  3.47823233e-01,  3.16066568e-02,  3.46970291e-01,           1,    1.420000e-02,  1.547393e+02,  1.547393e+02,  2.364743e+01,  2.187302e+01,  2.743295e+06,  8.369049e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.809656e-05,  3.16066568e+00
  3.79609936e-01,  3.16202939e-02,  3.78590585e-01,           1,    1.420000e-02,  1.541631e+02,  1.541631e+02,  2.380679e+01,  2.187302e+01,  2.742269e+06,  8.340213e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.822292e-05,  3.16202939e+00
  4.11427442e-01,  3.16341613e-02,  4.10224746e-01,           1,    1.420000e-02,  1.535826e+02,  1.535826e+02,  2.396683e+01,  2.187302e+01,  2.741336e+06,  8.311613e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.835019e-05,  3.16341613e+00
  4.43276536e-01,  3.16482647e-02,  4.41873011e-01,           1,    1.420000e-02,  1.529978e+02,  1.529978e+02,  2.412762e+01,  2.187302e+01,  2.740490e+06,  8.283231e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.847837e-05,  3.16482647e+00
  4.75158033e-01,  3.16626097e-02,  4.73535621e-01,           1,    1.420000e-02,  1.524086e+02,  1.524086e+02,  2.428926e+01,  2.187302e+01,  2.739725e+06,  8.255049e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.860746e-05,  3.16626097e+00
  5.07072770e-01,  3.16772022e-02,  5.05212823e-01,           1,    1.420000e-02,  1.518151e+02,  1.518151e+02,  2.445180e+01,  2.187302e+01,  2.739037e+06,  8.227048e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.873746e-05,  3.16772022e+00
  5.39021613e-01,  3.16920481e-02,  5.36904871e-01,           1,    1.420000e-02,  1.512171e+02,  1.512171e+02,  2.461535e+01,  2.187302e+01,  2.738421e+06,  8.199210e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.886836e-05,  3.16920481e+00
  5.71005457e-01,  3.17071537e-02,  5.68612025e-01,           1,    1.420000e-02,  1.506147e+02,  1.506147e+02,  2.477998e+01,  2.187302e+01,  2.737870e+06,  8.171517e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.900013e-05,  3.17071537e+00
  6.03025224e-01,  3.17225254e-02,  6.00334550e-01,           1,    1.420000e-02,  1.500077e+02,  1.500077e+02,  2.494579e+01,  2.187302e+01,  2.737379e+06,  8.143950e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.913276e-05,  3.17225254e+00
  6.35081867e-01,  3.17381697e-02,  6.32072720e-01,           1,    1.420000e-02,  1.493963e+02,  1.493963e+02,  2.511285e+01,  2.187302e+01,  2.736942e+06,  8.116493e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.926621e-05,  3.17381697e+00
  6.67176371e-01,  3.17540933e-02,  6.63826813e-01,           1,    1.420000e-02,  1.487802e+02,  1.487802e+02,  2.528127e+01,  2.187302e+01,  2.736555e+06,  8.089125e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.940045e-05,  3.17540933e+00
  6.99309751e-01,  3.17703034e-02,  6.95597116e-01,           1,    1.420000e-02,  1.481596e+02,  1.481596e+02,  2.545115e+01,  2.187302e+01,  2.736210e+06,  8.061831e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.953542e-05,  3.17703034e+00
  7.31483056e-01,  3.17868068e-02,  7.27383923e-01,           1,    1.420000e-02,  1.475343e+02,  1.475343e+02,  2.562257e+01,  2.187302e+01,  2.735903e+06,  8.034591e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.967107e-05,  3.17868068e+00
  7.63697368e-01,  3.18036111e-02,  7.59187534e-01,           1,    1.420000e-02,  1.469043e+02,  1.469043e+02,  2.579565e+01,  2.187302e+01,  2.735627e+06,  8.007389e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.980734e-05,  3.18036111e+00
  7.95953804e-01,  3.18207237e-02,  7.91008258e-01,           1,    1.420000e-02,  1.462697e+02,  1.462697e+02,  2.597049e+01,  2.187302e+01,  2.735376e+06,  7.980207e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  1.994416e-05,  3.18207237e+00
  8.28253518e-01,  3.18381522e-02,  8.22846410e-01,           1,    1.420000e-02,  1.456304e+02,  1.456304e+02,  2.614720e+01,  2.187302e+01,  2.735144e+06,  7.953027e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.008144e-05,  3.18381522e+00
  8.60597698e-01,  3.18559045e-02,  8.54702315e-01,           1,    1.420000e-02,  1.449863e+02,  1.449863e+02,  2.632588e+01,  2.187302e+01,  2.734924e+06,  7.925832e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.021910e-05,  3.18559045e+00
  8.92987571e-01,  3.18739888e-02,  8.86576304e-01,           1,    1.420000e-02,  1.443374e+02,  1.443374e+02,  2.650666e+01,  2.187302e+01,  2.734712e+06,  7.898604e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.035705e-05,  3.18739888e+00
  9.25424401e-01,  3.18924132e-02,  9.18468717e-01,           1,    1.420000e-02,  1.436838e+02,  1.436838e+02,  2.668966e+01,  2.187302e+01,  2.734500e+06,  7.871327e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.049516e-05,  3.18924132e+00
  9.57909492e-01,  3.19111862e-02,  9.50379903e-01,           1,    1.420000e-02,  1.430253e+02,  1.430253e+02,  2.687500e+01,  2.187302e+01,  2.734282e+06,  7.843982e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.063333e-05,  3.19111862e+00
  9.90444187e-01,  3.19303164e-02,  9.82310219e-01,           1,    1.420000e-02,  1.423621e+02,  1.423621e+02,  2.706281e+01,  2.187302e+01,  2.734053e+06,  7.816553e+00,  0.000000e+00,  0.000000e+00,  0.000000e+00,  2.077143e-05,  3.19303164e+00
