    INT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     , INT  , INT  ,    FLOAT     ,    FLOAT     ,     INT     ,     FLOAT      , BOOL , BOOL , BOOL ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    INT    ,    INT    ,      FLOAT       ,      FLOAT      ,       INT       ,     FLOAT      ,   BOOL    ,   BOOL    ,     FLOAT     ,      FLOAT       ,    FLOAT     ,     FLOAT      ,     FLOAT     ,      FLOAT       ,    FLOAT     ,     FLOAT      
            ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,      ,      ,     Rsol     ,      -       ,    Count    ,      Myr       ,State ,State ,State ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,           ,           ,       Rsol       ,        -        ,      Count      ,      Myr       ,   Event   ,   Event   ,       -       ,        -         ,      -       ,       -        ,       -       ,        -         ,      -       ,       -        
    SEED    ,    Mass_1    ,    Mass_2    ,   Radius_1   ,   Radius_2   ,Type_1,Type_2,SemiMajorAxis , Eccentricity ,Event_Counter,      Time      ,RLOF_1,RLOF_2, CEE  , Mass_1_Prev  , Mass_2_Prev  ,Radius_1_Prev ,Radius_2_Prev ,Type_1_Prev,Type_2_Prev,SemiMajorAxis_Prev,Eccentricity_Prev,EventCounter_Prev,   Time_Prev    ,RLOF_1_Prev,RLOF_2_Prev,Zeta_Soberman_1,Zeta_SoberMan_He_1,Zeta_Hurley_1 ,Zeta_Hurley_He_1,Zeta_Soberman_2,Zeta_SoberMan_He_2,Zeta_Hurley_2 ,Zeta_Hurley_He_2
       85107,  1.190924e+01,  4.489783e+01,  1.042898e+00,  9.629223e+00,     7,     1,  6.054772e+02,  0.000000e+00,            1,  5.79292749e+00,1,0,0,  3.500854e+01,  2.912965e+01,  8.096979e+01,  1.117461e+01,          2,          1,      2.212541e+02,     0.000000e+00,                0,  5.79259107e+00,0,0,  -3.333333e-01,      0.000000e+00,  3.000000e-01,    0.000000e+00,  -3.333333e-01,     -3.333333e-01,  3.000000e-01,    3.000000e-01
       85107,  7.505667e+00,  1.693745e+01,  1.437401e-05,  1.329670e+00,    14,     7,  8.389912e+00,  0.000000e+00,            2,  8.08098994e+00,0,1,1,  7.505667e+00,  2.878492e+01,  1.437401e-05,  4.325743e+02,         14,          4,      2.305972e+03,     6.182630e-01,                1,  8.08002991e+00,0,0,   0.000000e+00,      0.000000e+00,  0.000000e+00,    0.000000e+00,  -3.333333e-01,      0.000000e+00,  3.000000e-01,    0.000000e+00
